waktu,clean_text
2021-01-01,"tabungan dokter eric ludes setelah tujuh menit ganti nomor hp saya melihat berita ini dan ikut merasa sedih atas apa yang telah menimpa dokter eric.saya harap temen-temen semua dapat lebih berhati-hati dan menjaga diri dari orang yang berniat buruk terhadap kita. jadi intinya dokter ini dihubungi oleh puluhan nomor telepon yang berbeda setiap hari.penipu ini minta nomor aktivasi melalui sms,namun dokter ini tentu saja tidak memberikan, singkat cerita karena merasa tidak nyaman karena ada yg mengancam juga,dokter eric mengganti nomor,tidak beberapa lama tabungan dia ludes oleh si penipu. kalo mau tau lebih detail baca aja di link nya ya"
2021-01-01,"modus dugaan penipuan oleh seller nakal di marketplace jdid. bagi saya ini baru, entah buat quorawan/wati yang lain ya. inipun sifatnya masih dugaan percobaan penipuan, tapi mudah-mudahan dengan saya bagikan disini nggak ada yang jadi korban kalau-kalau menghadapi modus sejenis. ceritanya, saya beli notebook di marketplace jdid. dapat toko yang sedang promo super deal notebook yang aslinya seharga 3,5 juta, dijual hanya 2,3 juta saja. asumsi saya, karena bisa ikut promo super deal, pastilah seller nya trusted. setelah bayar lewat transfer rekening jdid, saya dihubungi lewat wa oleh seseorang. foto profilnya menggunakan ikon jdid, nama wa nya juga 'seller jdid'. awalnya nomor ini chat, memastikan identitas saya. setelah saya jawab, dia menghubungi lewat voice call. logat dan suaranya, persis banget seperti orang yang suka nelpon ngasih info menang undian sekian jeti, itu loh. yg pernah kena telpon menang undian, mungkin paham ya . ada logat etnis tertentu, saya ngga ingin sebut disini, takut menyinggung. lewat voice call, penelepon menyuruh saya meng klik tautan yang akan dikirim ke wa saya. saya tanya, untuk apa ? dia jawab, prosedur toko. berulang kali saya menolak, tetapi dia selaku berkilah bahwa ini prosedur toko. akhirnya saya bilang, bahwa saya akan membatalkan transaksi jika prosedurnya seperti ini. kemudian saya matikan telepon dan segera memproses pembatalan transaksi. setelah itu, saya menghubungi customer service jdid untuk melaporkan dugaan upaya penipuan ini. alhamdulillah, laporan saya diterima dan ditindaklanjuti dengan baik oleh cs jdid. untung nya saya juga sempat meng screenshot chat dan profil si penelepon. sayang voice call nya lupa direkam. besoknya, jdid menghubungi saya lewat email, mengabarkan bahwa jdid sudah melakukan investigasi kepada seller tersebut ( yang mencoba menghubungi saya ) sudah menon aktifkan akun nya. salut buat cs jdid untuk gercep nya! huff. syukurlah, dana 2,3 juta saya sudah kembali ke rekening. saya tidak tahu si seller nakal pakai sistem apa, dugaan saya setelah tautan yang mereka kirimkan saya klik, artinya saya mengaku telah menerima barang. mungkin lho yaa. saya nggak berani mencoba. langsung ambil aman saja, pembatalan transaksi. apakah quorawan/wati ada yang pernah mengalami modus sejenis ?"
2022-01-01,"akhir-akhir ini diplatformsebelah, lagi tren video-video sejenis ini lewatfyp. bikin akun palsupublic figure. video aslinya dibubuhi kata-kata seperti di atas. videonya naik danvoilah kalau akunnya gede bisa tuh dijual. cuan, cuan netijen yang bikin rame videonya dapat apa? nggak dapat apa-apa. jadi, kalau nemu akun seperti ini atau satu contoh lagi deh nggak perlu repot-repot bikin ramai atau ikutangiveaway-nya, langsungreportsaja. ciri-ciri akun: pakai namapublic figure diadakan di akun yang nggakverified/ akunnya masih meragukan keasliannya syarat giveaway hanya dituliskan, nggak diucapkan syarat giveaway terlalu mudah modus biar akunnya ramai adalinkwadi bio atau diplaylistbaca baca dari komennya ntar ujungnya disuruh masukinrefferal code"
2025-01-01,"halo semuanya, aku mau menjawab sebuah pengalaman yang berkaitan dengan modus baru penipuan lewat pengiriman bukti transfer yang terjadi pada 1 november kemarin. begini, kami merupakan panitia bakti sosial sebuah kampus negeri di kota padang sehingga harus membuat sebuah pamflet yang disebarkan guna mendapatkan uang donasi sebanyak mungkin agar sesuai target yang ada di proposal (selain mengirimkan beberapa proposal juga). kami para panitia selalu mengirimkan bukti transfer yang telah dikirim pendonasi ke grup sebagai arsip, bukti, dan verifikasi bahwa uang donasinya benar-benar masuk. akan tetapi pada tanggal 1 kemarin, teman saya mengirimkan sebuah bukti transfer yang nominalnya sangat besar, yaitu rp950.000. kami semua sontak terkejut dengan nominal yang sebegitu besarnya ini. adanya foto tersebut yang dikirimkan di grup membuat kami satu grup panitia menjadi geger dan sangat bersyukur. saya pun yang melihatnya juga sangat senang (belum sempat untuk langsung cek ke rekening karena itu adalah bni saya). beginilah kira-kira pembahasan di grup setelah adanya bukti transfer ini. akan tetapi beberapa saat kemudian ada keanehan yang terjadi karena ia mengirimkan pesan begini. dilihat dari caranya cukup aneh bukan? maksud saya mengapa dia tidak melakukan transfernya sendiri saja mengapa harus membebankannya kepada kami. lihat, si penipu membuat sebuah situasi seolah-olah ini sangat mendesak. maksud saya jika memang anda terburu-buru mengapa tidak lakukan transfer sendiri saja? awalnya saya tidak paham arahan si penipu ini. namun setelah dia mengirimkan pesan tersebut ia ingin jumlah 400k dari 950k donasinya dikirimkan ke donasi operasi (a/n rizki maulana). setelah paham keinginannya tentu saya coba cek ke m-banking bni saya. ah, sialnya malam itu mbanking nya malah not responding ketika dipencet. yaudah saya coba pergi malam itu juga ke atm bni terdekat sekitar 5 menit dari rumah. terlihat si penipu terkesan memaksa agar cepat-cepat mengirimkan transfer. di saat yang sama saya lagi di perjalanan ke atm karena mbanking lagi bermasalah. sesampainya di atm saya cek deh saldo saya. saya ingat betul bahwa saldo saya itu tidak sampai tiga ratus ribu. saya hanya berekspektasi bahwa saldo saya harus sejut lebih dong karena sudah ada uang donasi yang masuk. namun, kenyataannya saldo saya tidak ada penambahan sedikitpun. tidak ada juga uang masuk di 3 transaksi terakhir. si penipu menyuruh temen yang lain untuk transfer,. untungnya semua pada nungguin kepastian aku dulu yang lagi ke atm. kata teman saya (yang meneruskan pesan ke grup) si penipu ini spam terus. si penipu masih mencoba spam tapi dengan beberapa arahan seperti menyarankan teman saya saja yang melakukan transfer lewat agen bri link. setelah tahu bahwa ini adalah sebuah penipuan langsung saja kami sepakat menyarankan untuk block kontak tersebut. apa yang terjadi? dia malah menghubungi teman saya lewat nomor lain dan bilang bahwa ""dana itu amanah loh"". saya sudah bilang ke teman saya ini untuk mengirimkan bukti transfernya yang ada di mbanking bca nya, tapi tidak ada dipenuhi. sehingga ini pasti murni sebuah penipuan. keesokan harinya teman saya yang lain kedapatan modus yang sama. benar saja transfernya memang tidak masuk sepersen pun. saya tidak habis pikir mengapa ada orang yang begitu usilnya dan ada niatan untuk melakukan penipuan padahal ini kegiatan. pun saya yang kebetulan sedang berulangtahun tanggal 1 november merasa sedikit kesal dengan si penipu ini karena sudah mengerjak saya. kebetulan mbanking tidak respon, sehingga saya harus ke atm bni terdekat. kondisinya rumah dan pagar sudah dikunci dan motor saya sudah dimasukkan ke dalam rumah (saya rasa beberapa teman teman quora ada yang related). sesampainya di atm baru sadar bahwa ini adalah penipuan, saya balik ke rumah dengan kesal oleh perbuatan si penipu itu. terima kasih semuanya, semoga kita semua diberi kesehatan dan kemudahan dalam semua urusan."
2024-01-01,"pada suatu siang, berderinglah hp saya. (catatan: sebetulnya bukan berdering kring kring, melainkan memutarringtonelagu, namun rasanya aneh jika saya menulis ""bernyanyilah hp saya""). saya lihat penelepon dari nomer asing dan ada ancaman tulisan ""telemarketing"" dari aplikasi khusus yg tugasnya memberitahu siapa gerangan si penelepon. saya sedang longgar (maksudnya kedua tangan saya tidak sedang menjahili seseorang) maka saya angkatlah teleponnya. di seberang sana (seberang sungai? laut? kenapa disebut seberang ya?) terdengar suara wanita nan merdu, dengan nada yg profesional dan meyakinkan, yang melakukan verifikasi data saya misalnya apakah saya bernama x dengan nomer hp 08xx dan mempunyai kartu kredit (cc) sebanyak 2 buah dari bank plecit, yg satu tipe a dan yg satu tipe b. lengkap sekali kan datanya? siapa yg tak percaya kalau penelepon itu, sebut saja mbak csg (cs gadungan), bukan pegawai bank? kata nya runtut, kosa katanya seperti yg biasa kita dengar dari cs bank, dan punya data saya, maka mudahlah saya tertipu daya. saya curiga mbak csg ini pernah dapattrainingmenjadi cs via telepon, karena suaranya sama sekali tidak grogi, terdengar sangat percaya diri, terbiasa melakukan percakapan ini, plus bisa menjawab dgn baik semua keraguan saya. mbak csg menawarkan kenaikanlimitcc jadi 2 kali lipat secara gratis dan tanpa prosedur macam , plusvoucherdari toko online warna oren (ini bukan salah tokonya ya). saya yg sedang butuhlimitbesar untuk transaksi, tentu saja tergiur dan mengiyakan. awalnya mbak csg memverifikasi nomer kartu dan tanggal ed, saya berikan tanggal ed karena dia menyebut 4 digit terakhir nomer kedua cc jadi saya anggap dia valid dari bank. lalu dia minta 3 digit cvv, saya mulai ragu, tapi mbak csg dgn luwesnya meyakinkan saya, minta cvv salah satu cc saja. dengan bodohnya saya berikan. lalu mbak csg mengatakan akan memprosesvoucherdari toko oren, dan sebentar lagi saya akan dapat sms berisi kode. memang betul, tak lama kemudian muncul sms yg dimaksud, tapi dengan embel ""jangan beritahu siapa termasuk pihak bank."" waduuuh, lalu bagaimana ini? mbak csg terus mendesak saya untuk memberitahu kodenya. saya bilang, ""di sms kan tidak boleh memberitahu siapa termasuk pihak bank."" mbak csg dengan luwes berkilah, ""betul. tapi boleh diberitahukan hanya pada verifikator bank, bu."" saya bimbang, belum sempat menjawab, hp saya mati. rupanyalow bat akhirnya hp saya isi daya sambil berpikir, ""sepertinya kok ada yg salah."" lalu saya punbrowsingtentang penipuan cc bank tersebut, dan muncul peringatan yg sama:jangan beritahu siapa-siapa tentang kode yg dikirim lewat sms. setelah baterai terisi penuh, saya nyalakan lagi hp-nya. mbak csg beberapa kali menelepon tapi tidak saya gubris karena saya sibuk memblokir cc dan minta dikirim kartu yg baru. mana harus bayar pula untuk minta kartu baru. duh, repot. untunglah (sesuai falsafah orang jawa yg selalu untung), saya tidak sempat tertipu dan belum ada transaksi sama sekali. kalau orang lainsaved by the bell, mungkin sayasaved by the (low) battery."
2024-01-01,"-giveaway baim wong- jujur, saya pengikut lamanya di instagram dari 2018/2019 an gitu mulai mengikuti semenjak viral prank nya ka baim itu. dan kemarin, postingannya mengingatkan lagi untuk jangan mudah tertipu dengan yang mengatasnamakan giveaway baimwong, dan sudah diklarifikasi juga kalau ka baim itu sudah 3 tahun belakangan tidak mengadakan giveaway, adapun berbagi dijalanan saja tanpa di liput media. dan ketika melihat kolom komentar, banyak sekali ternyata yang tertipu, dan yang lebih mirisnya lagi ada yang sampai mendatangi ka baim langsung kerumahnya untuk meminta ganti rugi senilai 140 juta. jadi modus penipuannya itu berbagai macam caranya: sebenarnya masih banyak lagi yang pernah saya dapatkan infonya dimedia tentang berbagai modus penipuan giveaway baimwong ini, mirisnya korban yang tertipu banyak yang meminjam uang hanya untuk mentransfer deposit itu. korban berdalih dan percaya itu baimwong karena penipu menggunakan video atau mungkin ai wajah dan suara baimwong saat videocall. pernah ada yang tertangkap polisi di 2020 dengan 10 dalang penipu, namun ternyata masih banyak saja yang masih tertipu dengan giveaway baimwong. dilain sisi kasihan juga kak baim dan keluarga, kebaikannya di salahgunakan para penipu itu, hingga baim mengakui kejeniusan para penipu itu untuk meyakinkan para korban. tak sedikit korban yang meminta ganti rugi ke kak baim, yang memang seharusnya tidak ada tanggung jawab apapun atas kelalaian mereka tertipu. segitu saja yang saya ketahui untuk informasi penipuan yang sedang marak mengatasnamakan giveaway baimwong."
2024-01-01,"penipuan modus download apps video -kejadian tgl 19 jan 2024 lalu, ada nomor telp menghungi saya dari nomor nya sy lupa(sptnya 0815 19438927) sekitar jam 11siag, lalu mrk akan hubungi lanjutan dari wa dan wa dari nomor dibawah ini, dari foto sih sptnya palsu semua. mba ini basa basi minta data2 bank dsb, dan tugas 1 ialah mendownload telegram apps, kita dpt 30.000 dan di transfer ke bank digital. selepas itu kita beroperasi melalu telegram. di telegram kita dihub dengan orang yg sebagai receptionis kita , dan akan memberikan petunjuk mengenai tugas2 yang dilakukan. tugas2 tsb ialah cukup mudah, hanya mendownload aplikasi video yang diminta. setiap kali mendownload, kita harus meng-capture screen dan menshare ke receptionis. kita akan dpt hasil 30rb, 30rb, 70rb dan 70rb.namun di tugas berikutnya akan ada investasi bbrp level. bu ana itu ialah reseptionis saya. investasi bbrp levelnya ialah terntunya pengguna baru ingin yg rendah investnya, dan kami pilih 250rb. setelah itu kita akan mendapatkankode kompensasi,dan kita akan dihubungkan dengan ""mentor"" berikutnya sbb nah disini mulai beda, kita akan disuruh mengakses website dan kita register data2 kita. websitenya : disana kita diberi tuga hanya klik sekitar 10x. dan boom kita akan dapat bonusnya, sama akan terulang lagi hingga anda isi 700rb dan dapat966rb. selanjutnya kita akan memulai download apps lagi hingga bbrp kali .kemudian ini jebakan betmen dimulai : kita ke web lagi dan ada paket yang harus diisi ialah min 700rb , setelah itu bim sa labim kita harus nambah lagi untuk tugas berikutnya sebesar : inilah yang memberatkan. dan sy sudah mencoba mengisi dan dibantu untuk paket a.namun mrk tricky dan memberikan tugas seperti ini : terntunya karena sebelum2nya banyak peserta mengklik di web vip 1. maka tugas ini kita mengganggap seperti vip 1. tulisannya pun blur spt itu. dan sim sa la bim, saldo kita di web hilang sekitar 2jtan. dan kita menghubungi reseptionis kita lagi , dan untuk memperbaiki kesalahan kita harus isi lagi dana sebesari paket a tsb. gila. sy sudah menyerah dan pasti diduga ujung2 nya scam. mungkin sobat quora ada yang pengalaman yang sama ? makasih semoga berhati2 .dan bila ada yang menawarkan spt itu .cukuplah main aman di 700rb yang pertama. atau tugas transfer yang kedua done. nanti sy perbaiki lagi ya. mgkn sindikat mrk ini banyak makan korban ? apakah harus dilaporakan ke yang berwajib ?"
2025-01-01,"baru saja, pagi ini saya hampir kena scam 200 dolar. yuk, main detektif-detektifan lagi sama saya. ceritanya saya lagi butuh banget pemasukan tambahan, dan saya berusaha memaksimalkan potensi saya untuk memulai perjalanan karir sebagaifreelancer. saya coba akses dan daftar ke semua platform2 khusus untukfreelancer, salah satunyafiverr.1 kemarin, saya rampungkan portofolio dan segala data yang dibutuhkan oleh platform sampai akhirnya akun saya siap untuk diiklankan dan menerimaprojectdaribuyer. saya semangat sekali menungguorderperdana yang masuk sambil saya terus mengulik apalagi yang harus saya maksimalkan untuk menaikanengagementsaya disini. semalam, ada email notifikasi masuk darifiverrbahwa ada seorangbuyeryang mengirim pesan ke akun saya. wah, secepat ini kah? apa mungkin portofolio saya cukup baik dan harga yang saya pasang cukup bagus sampai bisa menggaet buyer secepat ini? segala ucapan syukur sudah saya panjatkan dalam hati saking senangnya. padahal belum tentudeal, tapi mengetahui ada seorangbuyeryangnoticekeberadaan akun saya rasanya sudah senang sekali. saya buka pesannya. hanya tertulis ""hey"". sudah. tidak ada kalimat lain lagi. lokasi pengirim terlihat berasal dariunited states,dan bergabung sejak januari 2025. disini saya masih belum berfirasat apapun. saya hanya balas ""hello there"", karena saya ragu dengan apa yang dia butuhkan. kemudian, percakapan ini terjadi. dia bilang dia pengguna baru di platform ini dan tertarik denganserviceyang saya tawarkan. dan ternyata dibutuhkan emailprovider(saya) untuk memulaibidding projectdisini. dia menyertakan gambar tangkapan layar bahwa ada kolom yang mengharuskannya utuk mengisi email dari siprovider. tangkapan layar dari sibuyer sebagai sesama pengguna baru, saya berfikir, oh mungkin tahap ini untuk memberikan peluang kepada pihakbuyerdanprovideruntuk berdiskusi terlebih dahulu mengenai projectnya. jadi, tanpa rasa curiga, saya berikan email saya begitu saja. setelahnya, saya tanyakan kembali ""serviceapa yang dia butuhkan?"" lama saya tunggu tidak ada balasan. hingga paginya, saat baru bangun tidur, sebagaimana manusia modern pada umumnya, hal yang pertama saya lakukan adalah melihat notifikasi di hp saya dan menemukan ada email masuk darifiverryang memberitahukan bahwa saya mendapatkan project pertama saya. saya senang bukan main. saya buka email tersebut dengan mata yang masih setengah mengantuk itu. saya clickproceed.dan saya diarahkan untuk mem-verifikasi kartu yang akan digunakan untuk menerima pembayaran transaksi tersebut. saya ikuti sesuai dengan langkah-langkah yang tertera. namun, saat proses verifikasi, ada pemberitahuan dari support assistant bahwa kartu saya harus memiliki saldo sebanyak 200 usd untuk melewati proses verifikasi tersebut karna saya adalah pengguna baru. waduh. saya ngga punya saldo mengendap sebanyak itu. saya kirimkan tangkapan layar ini ke teman saya yang sudah lebih berpengalaman dalam bertransaksi internasional seperti ini. dia langsung bilang ""itu sepertinya scam"". tapi namanya udah terlanjur senang terima kabar 'hampir' baik di pagi hari, saya masih sempat ngotot. ini kan platform besar dan resmi, masa bisa scam gini? tapi syukurlah, logika dan kewarasan saya mulai kembali. nyawa saya di pagi hari itu akhirnya mulai terasa utuh lagi. saya cari di google dengan kata kunci ""fiverr scam"". hasilnya, semua mengatakan bahwafiverrbukanlah platform scammer dan merupakan platform resmi bagi para pekerjafreelance. namun, saya menemukan bahwafiverrmemiliki sebuah forum bagi para penggunanya. akhirnya kepingan puzzle pun mulai tersusun satu persatu. jadi, modusnya adalah, para pelaku ini hanya akan mengincar para pengguna baru difiverryang belum mengetahui jelas bagaimana alur sistem transaksi disana. mereka akan mengirim pesan dan menanyakan email para freelancer sambil mengirimkan satu file berisi foto tangkapan layar palsu yang meyakinkanbahwa platform benar-benar membutuhkan email ini untuk melanjutkan transaksi. kemudian, para pelaku akan mengirimkan email yang mengatasnamakan ""fiverr"" untuk mengirimlinkyang mengarahkan pengguna untuk melanjutkan transaksi dengan memasukan informasi kartu (sebagai bentuk verifikasi) disana. banyak sekali yang sudah menjadi korban. karna saya akui, jika tidak teliti, trik ini cukup efektif digunakan untuk 'kami' yang masih awam. namun, jika saya sedari awal cukup jeli dan tidak kepalang senang, harusnya saya sadar ada banyak kejanggalan dalam proses ini. pertama, perhatikan kembali kalimat sibuyerdi percakapan yang saya tunjukan. gaya bahasa yang dia gunakan terasa bukan seperti orangnative usyang dalam kesehariannya menggunakan bahasa inggris, alias, aneh. kedua, font emailfiverr palsuini kelihatan sekali kalau ini palsu. logofiverrnya pun berbeda. ini adalah email asli darifiverrsaat memberitahukan ada notifikasi pesan yang masuk. dan setelah saya cek kembali, domain emailnya pun ternyata berbeda! bandingkan dengan tangkapan layar email yang sebelumnya saya sematkan diatas. kemudian, walaupun saya sudah mengunduh aplikasifiverrdi hp saya, link yang terdapat dalam email palsu itu terus mengarahkan saya ke website mereka. padahal, saya sudah bolak balik ke aplikasi untuk melihat project yang masuk di sesi 'pesanan' saya. saking positif thinkingnya, saya sempat bertanya pada 'customer support' live chat yang disediakan di website tersebut, ""apakah project saya baru bisa diterima setelah proses verifikasi selesai?"" dan dijawab dengan ""yes"". terakhir, saya ngga tahu apakah ini wajar atau tidak, tapi di website tersebut saya diharuskan mengisi nomor kartu dan kode dibelakang kartu saya layaknya platform-platform belanja lainnya. jadi, untuk temen-temen quora sekalian, mohon insight nya ya, biasanya bagaimana cara dan alur transaksi untuk berbisnis dengan orang asing seperti ini? syukur alhamdulillah, saya masih dilindungi. 200 dolar mungkin memang ngga seberapa untuk sebagian orang, tapi itu besar sekali untuk saya yang sedang kekurangan dan butuh banyak penghasilan tambahan. semoga tulisan ini bisa dijadikan pelajaran ya. sekian catatan kaki"
2023-01-01,"penipuan shopeefood ""orderan fiktif"" berujung menguras isi rekening anda. seluruh driver shopee food, gofood, grabfood, harap merapat! point utama : jika anda mendapar orderan fiktif dibawah 50k, ikhlaskan! jika anda mendapat orderan fiktif di atas 50k. ikuti saran saya: 1. tenang. tenangkan diri anda, jangan panik. 2. jangan angkat telfon dari siapapun. terutama nomor2 yang tidak anda kenal. 3. hentikan pekerjaan anda saat itu juga. (agar anda bisa benar2 menenangkan diri). lanjutkan esok hari saat masalah sudah beres. 4. umumnya korban ojol yang mendapat orderan fiktif rata2 dilakukan pada malam hari, itu sengaja dilakukan agar anda tidak bisa ke kantor shopee terdekat karena kantor sudah tutup. 5. jangan hubungi customer servis shopee atau apapun itu. yang boleh anda lakukan hanya pergi ke kantor shopee terdekat dan jelaskan secara langsung. kronologi cerita: hal ini dialami oleh adik teman saya dan juga adik saya, kita sebut saja ""z"". adik saya, z merupakan laki2 mandiri, namun agak sedikit keras kepala. malam itu, dia buru2 berpamitan pergi karena ada orderan, disana dia mendapatkan orderan makanan dengan total 40k. saat sedang mengantar pesanan itu, z bingung karena nomor rumahnya 82 itu tidak ada, hanya ada 81 , 83, dan seterusnya, hanya 82 itu yang tidak ada, dan masih dalam bentuk tanah kosong tanpa bangunan. z yang kebingungan pun akhirnya mencoba menghubungi nomor pemesan, dan benar saja, tidak ada jawaban sama sekali. akhirnya z pun memutuskan pulang dan menghubungi cs shopee melalui ponselnya. benar saja, tak lama setelah itu z mendapat telfon dengan nomor yang seakan2 milik kantor shopee. z akhirnya mengangkat serta menceritakan kronologinya. setelah itu, z diarahkan untuk mengikuti instruksi dari cs penipu abal2 tersebut dengan diminta mengisi form dari link yang dikirimkan cs penipu itu. dengan entengnya, z pun mengisi form tersebut. z diminta memasukan nomor yang tertera pada kartu debit rekeningnya, serta cvv 3 angka yang tertera dibelakang kartu, dengan alasan semua akan aman karena sang penipu menjelaskan tidak bisa mengetahui nomor penting tersebut jika dimasukan lewat link itu. tak puas sampai disitu, penipu berpura2 bahwa rekening bank milik adik saya eror dan menyurunya meminjam kartu atm papa saya dan menyurhnya melakukan hal yang sama. belum puas disitu, sang cs penipu inu juga meminta z mengaktifkan shopee pinjam dengan alasan, ""semua driver yang terkena orderfiktif akan dapat ganti rugi di shopeepinjam"". like what? saya yang baru keluar dari kamar saat itu langsung membentak z adik saya. ""shopee pinjam itu fungsinya buat ngutang! dia itu mau ngutang pake nama kamu!"". kemudian cs itu menjawab, ""kalian ya dikasih tau ngeyel aja!"". telfonpun dimatikan. sayapun menyuruh adik dan papa untuk mengecek rekeningnya, dan benar saja semua sudah terkuras habis. bak nasi sudah menjadi bubur, adik saya hanya bisa menangis sejadi2nya meratapi penyesalan. begitupun saya yang menyesal, jika saja saya keluar kamar lebih awal, mungkin saya bisa mencegah semuanya. adik saya z, akhirnya menjelaskan kronologi penipuan dengan link tersebut, saat saya cek linknya link menuju website abal2, dengan menggunakan platform strikingly dan ui yang berantakan, serta button 3 garis di pojok atas tidak berfungsi sama sekali. (kalau semasa saya kuliah it mah ini udah diketawain sama dosen saya). pesan buat penipu, lain kali kalo bikin web jangan terlalu nunjukin gobloknya kalian, pake yang niat dikit napa. back to topik, saya akan menceritakan cara kerjanya. bisa kalian lihat disana korban akan diminta mengisi nomor kartu atm pada text box. tapi disana sudah saya isi pakai kata2 mutiara karena jengkel hehe. jadi si cs penipu ini akan menerima nomor kartu atm anda yang anda kirimkan lewat link tersebut melalui back link. lalu, kalian bisa lihat juga tulisan, ""kode verifikasi sudah dikirimkan lewat sms/wa"". damn! itu bukan verifikasi , melainkan kode otp rahasia kartu atm kita yang tidak boleh diketahui oleh siapapun termasuk pihak bank. saat kalian diminta otp dan dengan santainya menyebutkan, sudah habislah isi rekening kalian seperti yang terjadi pada z adik saya. pelajaran yang bisa diambil, ya mungkin ini peringatan untuk adik saya. papa saya pun memiliki rekening lain dengan saldo yang lebih besar dibanding yang dikuras oleh penipu, jadi papa saya masih memaafkan walaupun sudah rugi 5juta'an. namun saya lebih kasihan dengan korban2 lain yang cuma memiliki uang itu direkeningnya, yang tidak tahu besok mau makan pakai apa setelah uangnya habis dikuras oleh si penipu. tak terbayang kerja bapak ojol, pagi siang malam, kehujanan, uangnya harus habis karena penipu ini. :("
2024-01-01,"siang ini saya membuka sms di ponsel dan mendapat notifikasi bahwa ada kiriman paket yang alamatnya salah. padahal saya tidak merasa mengirim sesuatu. kalaupun dari belanja online, semua alamat kirim yang saya pakai selama ini tidak pernah bermasalah. jika tautannya diklik, saya diarahkan/redirectke ""situsnya jt"" untuk mengisi formulir perbaikan alamat pengiriman. perhatikan alamat webnya. sampai di sini saya sudah curiga dan mencoba menelusuri nomor resinya. eh, ternyata di ""situsnya jt"" itu yang bisa dibuka hanya halaman perbaikan alamat saja, sedangkan menu-menu lain 404 alias kosong. sedangkan jika nomor resinya dicari di situsnya jt asli tidak ditemukan. kesimpulan saya, inisebuah upaya phishing/menghimpun data dengan membuat kloningan situs jt."
2024-01-01,"saya hampir kena tipu pulsa 100.000! jadi saya kan buka usaha konter sudah lumayan lama dan saya juga mempromosikannya melalui instagram, kali aja ada kan nyangkut customer jauh. terus ceritanya setelah sekian lama nggak ada orang beli melalui ig tiba-tiba ada dm masuk! saya buka lah, deg-degan saya dapat customer pertama melalui ig. jujur, di satu sisi saya nggak terlalu yakin itu seriusan orang mau beli soalnya kan saya akui saya nggak terlalu aktif promosi di ig atau aktif ngefollow akun-akun orang, jadi saya biarin aja tuh followers saya cuma beberapa akun pribadi saya sendiri, lalu itu orang tahu darimana kalau akun saya jualan pulsa. tapi saya berusaha menepis pemikiran jelek tersebut, nggak semua hal bisa dipikir dengan logika kalau kata ibu saya. mungkin aja itu emang beneran orang mau beli, rezeki kan nggak ada yang tahu ya. jadi setelahnya penipu tersebut saya layanin dengan ramah. berikut isi chatnya dan sudah saya jelaskan di foto kedua. untung saja beberapa hari lalu saya kebetulan sempat menyimak postingan tentang modus penipuan yang lewat di beranda x. biasanya saya abaikan saja karena kadang malas baca thread panjang hehe, tapi entah kenapa waktu itu saya simak threadnya sampai selesai. alhamdulillah berkat itu saya jadi lebih waspada dan tidak terburu-buru, karena saya tipe orang yang kalau deg-degan sampai tremor bisa jadi ngeblank dan bertindak tanpa pikir panjang. saya waktu itu juga nggak mau gegabah karena menyangkut transaksi yang uangnya tidak berupa cash langsung. ""jangan pernah memproses transaksi sebelum kalian menerima uang."" kata-kata mantan bos saya tersebut selalu terngiang-ngiang di kepala saya semenjak pernah beberapa kali minus uang karena kesalahan di tempat kerja. jadi bisa dibilang semenjak itu saya lumayan trauma bahkan tidak mau memberi utang pada usaha saya meskipun yang mau ngutang tetangga sendiri. karena selain nggak enak nagihnya, saldo saya juga masih minim karena baru merintis. zaman semakin maju penipu semakin ada saja akalnya untuk menghalalkan segala cara. jangan lupa untuk selalu waspada dan tetap berhati-hati. itu saja sih yang mau saya ceritakan. maaf kalau penulisan bahasanya sedikit berantakan karena saya belum terbiasa menulis dan menjelaskan cerita dengan tulisan. have a nice day!"
